hidden layers,hidden neurons,mean accuracy
3,2,0.7893195521102497
3,4,0.7607235142118863
3,8,0.7417743324720069
3,16,0.8389319552110249
3,32,0.8454780361757106
3,64,0.8496124031007752
3,128,0.8520241171403962
3,256,0.8518518518518519
3,512,0.8561584840654608
3,1024,0.8546080964685616
4,2,0.06666666666666667
4,4,0.8356589147286821
4,8,0.813953488372093
4,16,0.8270456503014643
4,32,0.8521963824289406
4,64,0.8516795865633074
4,128,0.8515073212747631
4,256,0.8434108527131783
4,512,0.8551248923341946
4,1024,0.8556416881998278
5,2,0.794659776055125
5,4,0.8136089577950043
5,8,0.8472006890611542
5,16,0.8485788113695091
5,32,0.8544358311800172
5,64,0.846167097329888
5,128,0.8549526270456503
5,256,0.8565030146425495
5,512,0.8549526270456503
5,1024,0.8539190353143842
