epoch,learning rate,mean accuracy
1,0.1,0.7298880275624462
2,0.1,0.824978466838932
3,0.1,0.6492678725236865
4,0.1,0.8456503014642549
5,0.1,0.06666666666666667
6,0.1,0.7142118863049096
7,0.1,0.8513350559862187
8,0.1,0.7950043066322137
9,0.1,0.6472006890611541
10,0.1,0.8165374677002584
11,0.1,0.8156761412575366
12,0.1,0.7534883720930232
13,0.1,0.837037037037037
14,0.1,0.8497846683893195
15,0.1,0.7753660637381568
16,0.1,0.8353143841515934
17,0.1,0.7905254091300603
18,0.1,0.8187769164513351
19,0.1,0.6818260120585702
20,0.1,0.8449612403100775
21,0.1,0.8494401378122308
22,0.1,0.6785529715762274
23,0.1,0.5891472868217055
24,0.1,0.8501291989664083
25,0.1,0.5886304909560723
26,0.1,0.6690783807062877
27,0.1,0.8535745047372955
28,0.1,0.8418604651162791
29,0.1,0.8382428940568476
30,0.1,0.8513350559862187
31,0.1,0.8551248923341946
32,0.1,0.6093023255813953
33,0.1,0.8399655469422911
34,0.1,0.8542635658914729
35,0.1,0.8482342807924204
36,0.1,0.8113695090439277
37,0.1,0.8391042204995693
38,0.1,0.7774332472006891
39,0.1,0.8358311800172266
40,0.1,0.8335917312661498
41,0.1,0.8478897502153316
42,0.1,0.8480620155038759
43,0.1,0.7133505598621878
44,0.1,0.8435831180017227
45,0.1,0.7781223083548665
46,0.1,0.8082687338501292
47,0.1,0.65770887166236
48,0.1,0.8465116279069768
49,0.1,0.8521963824289406
50,0.1,0.8525409130060293
51,0.1,0.8382428940568476
52,0.1,0.8453057708871662
53,0.1,0.7655469422911283
54,0.1,0.8065460809646856
55,0.1,0.6153316106804478
56,0.1,0.8334194659776055
57,0.1,0.8022394487510767
58,0.1,0.852885443583118
59,0.1,0.7950043066322137
60,0.1,0.6578811369509044
61,0.1,0.8289405684754522
62,0.1,0.6804478897502153
63,0.1,0.8546080964685616
64,0.1,0.8466838931955211
65,0.1,0.8521963824289406
66,0.1,0.8465116279069768
67,0.1,0.836520241171404
68,0.1,0.756244616709733
69,0.1,0.7248923341946598
70,0.1,0.6730404823428079
71,0.1,0.849956933677864
72,0.1,0.853402239448751
73,0.1,0.7195521102497847
74,0.1,0.8480620155038759
75,0.1,0.837037037037037
76,0.1,0.8485788113695091
77,0.1,0.6199827734711456
78,0.1,0.8428940568475453
79,0.1,0.8449612403100775
80,0.1,0.8384151593453919
81,0.1,0.818260120585702
82,0.1,0.6592592592592592
83,0.1,0.8535745047372955
84,0.1,0.8523686477174849
85,0.1,0.8408268733850129
86,0.1,0.6267011197243756
87,0.1,0.8363479758828596
88,0.1,0.06666666666666667
89,0.1,0.8418604651162791
90,0.1,0.8484065460809647
91,0.1,0.8454780361757106
92,0.1,0.72885443583118
93,0.1,0.8394487510766581
94,0.1,0.8399655469422911
95,0.1,0.843238587424634
96,0.1,0.7696813092161929
97,0.1,0.8397932816537468
98,0.1,0.8449612403100775
99,0.1,0.6415159345391903
100,0.1,0.8525409130060293
1,0.01,0.5683031869078381
2,0.01,0.8313522825150732
3,0.01,0.6132644272179156
4,0.01,0.7602067183462532
5,0.01,0.8368647717484927
6,0.01,0.8382428940568476
7,0.01,0.8320413436692506
8,0.01,0.8322136089577951
9,0.01,0.7848406546080965
10,0.01,0.7235142118863049
11,0.01,0.732644272179156
12,0.01,0.8490956072351421
13,0.01,0.8444444444444444
14,0.01,0.8353143841515934
15,0.01,0.8137812230835486
16,0.01,0.06666666666666667
17,0.01,0.8453057708871662
18,0.01,0.7583118001722653
19,0.01,0.8470284237726098
20,0.01,0.8475452196382429
21,0.01,0.8446167097329889
22,0.01,0.852885443583118
23,0.01,0.06666666666666667
24,0.01,0.8485788113695091
25,0.01,0.823083548664944
26,0.01,0.8496124031007752
27,0.01,0.7989664082687339
28,0.01,0.8490956072351421
29,0.01,0.8
30,0.01,0.8268733850129198
31,0.01,0.8453057708871662
32,0.01,0.8544358311800172
33,0.01,0.8465116279069768
34,0.01,0.5917312661498708
35,0.01,0.8546080964685616
36,0.01,0.8539190353143842
37,0.01,0.8447889750215332
38,0.01,0.8544358311800172
39,0.01,0.8151593453919035
40,0.01,0.8546080964685616
41,0.01,0.8506459948320414
42,0.01,0.6554694229112834
43,0.01,0.8539190353143842
44,0.01,0.7939707149009475
45,0.01,0.8546080964685616
46,0.01,0.8480620155038759
47,0.01,0.5896640826873385
48,0.01,0.853402239448751
49,0.01,0.8447889750215332
50,0.01,0.8508182601205857
51,0.01,0.8484065460809647
52,0.01,0.8515073212747631
53,0.01,0.8521963824289406
54,0.01,0.8475452196382429
55,0.01,0.8478897502153316
56,0.01,0.5896640826873385
57,0.01,0.8456503014642549
58,0.01,0.8485788113695091
59,0.01,0.8465116279069768
60,0.01,0.7679586563307493
61,0.01,0.8449612403100775
62,0.01,0.8520241171403962
63,0.01,0.8544358311800172
64,0.01,0.7665805340223945
65,0.01,0.8539190353143842
66,0.01,0.7083548664944014
67,0.01,0.852885443583118
68,0.01,0.8520241171403962
69,0.01,0.7359173126614987
70,0.01,0.8005167958656331
71,0.01,0.7136950904392765
72,0.01,0.8451335055986219
73,0.01,0.8503014642549527
74,0.01,0.7279931093884582
75,0.01,0.8542635658914729
76,0.01,0.8546080964685616
77,0.01,0.8530577088716623
78,0.01,0.8547803617571059
79,0.01,0.8444444444444444
80,0.01,0.6809646856158484
81,0.01,0.8552971576227391
82,0.01,0.8489233419465978
83,0.01,0.8503014642549527
84,0.01,0.8037898363479759
85,0.01,0.8539190353143842
