epoch,mean accuracy
1,0.376399655
2,0.300258398
3,0.633763997
4,0.369681309
5,0.506115418
6,0.789319552
7,0.788458226
8,0.808096469
9,0.455641688
10,0.702842377
11,0.837209302
12,0.828768303
13,0.816192937
14,0.762618432
15,0.819293712
16,0.835142119
17,0.619810508
18,0.817571059
19,0.656158484
20,0.768303187
21,0.844788975
22,0.843755383
23,0.675796727
24,0.842549526
25,0.615676141
26,0.597760551
27,0.55503876
28,0.81464255
29,0.672006891
30,0.833591731
31,0.834108527
32,0.827562446
33,0.786907838
34,0.847200689
35,0.845133506
36,0.838415159
37,0.844099914
38,0.844444444
39,0.813953488
40,0.84788975
41,0.849095607
42,0.843755383
43,0.849267873
44,0.836864772
45,0.829801895
46,0.818087855
47,0.840826873
48,0.849612403
49,0.848234281
50,0.843755383
51,0.751076658
52,0.587424634
53,0.84461671
54,0.839276486
55,0.645650301
56,0.803445306
57,0.849440138
58,0.844099914
59,0.619121447
60,0.846856158
61,0.768303187
62,0.604995693
63,0.852196382
64,0.847028424
65,0.854263566
66,0.842721792
67,0.837037037
68,0.842721792
69,0.843066322
70,0.784496124
71,0.750387597
72,0.841171404
73,0.765374677
74,0.840310078
75,0.850129199
76,0.854263566
77,0.619810508
78,0.847200689
79,0.849267873
80,0.82962963
81,0.664427218
82,0.736950904
83,0.842894057
84,0.74952627
85,0.846856158
86,0.571920758
87,0.815159345
88,0.83255814
89,0.784668389
90,0.699224806
91,0.826184324
92,0.764341085
93,0.848578811
94,0.844272179
95,0.798277347
96,0.836520241
97,0.843927649
98,0.854091301
99,0.60292851
100,0.852540913
101,0.823428079
102,0.84788975
103,0.844788975
104,0.843583118
105,0.58794143
106,0.784496124
107,0.845822567
108,0.846511628
109,0.846511628
110,0.843583118
111,0.852024117
112,0.851162791
113,0.84203273
114,0.746942291
115,0.846511628
116,0.847717485
117,0.794832041
118,0.843755383
119,0.854608096
120,0.836864772
121,0.843410853
122,0.849095607
123,0.807751938
124,0.066666667
125,0.767269595
126,0.662360034
127,0.826873385
128,0.828251507
129,0.845305771
130,0.841171404
131,0.850301464
132,0.84461671
133,0.694229113
134,0.851162791
135,0.843410853
136,0.824806202
137,0.546425495
138,0.066666667
139,0.674074074
140,0.849440138
141,0.628251507
142,0.846167097
143,0.819982773
144,0.851679587
145,0.840999139
146,0.843410853
147,0.8208441
148,0.85047373
149,0.829285099
150,0.579500431
151,0.834797588
152,0.066666667
153,0.740740741
154,0.582773471
155,0.822566753
156,0.833591731
157,0.85081826
158,0.803962102
159,0.851335056
160,0.847372954
161,0.839965547
162,0.842721792
163,0.84754522
164,0.85081826
165,0.837037037
166,0.622394488
167,0.83910422
168,0.786046512
169,0.854435831
170,0.847372954
171,0.843583118
172,0.832730405
173,0.844099914
174,0.827734711
175,0.839965547
176,0.696124031
177,0.619638243
178,0.854263566
179,0.850129199
180,0.849784668
181,0.846339363
182,0.847028424
183,0.721963824
184,0.649956934
185,0.84496124
186,0.823600345
187,0.831180017
188,0.740913006
189,0.843583118
190,0.842549526
191,0.852540913
192,0.759689922
193,0.85081826
194,0.77295435
195,0.85374677
196,0.843583118
197,0.844099914
198,0.843410853
199,0.837381568
200,0.848234281
201,0.854780362
202,0.849784668
203,0.703703704
204,0.820327304
205,0.839621016
206,0.842549526
207,0.843583118
208,0.850129199
209,0.843755383
210,0.717657192
211,0.837553833
212,0.714211886
213,0.834280792
214,0.84203273
215,0.853057709
216,0.827217916
217,0.678380706
218,0.832385874
219,0.849267873
220,0.843410853
221,0.845822567
222,0.842377261
223,0.852196382
224,0.738329027
225,0.835314384
226,0.688027562
227,0.846167097
228,0.848923342
229,0.562273902
230,0.843066322
231,0.793453919
232,0.843755383
233,0.845650301
234,0.843410853
235,0.781739879
236,0.837726098
237,0.840826873
238,0.841515935
239,0.848751077
240,0.853057709
241,0.815676141
242,0.765719208
243,0.843583118
244,0.849440138
245,0.843583118
246,0.803617571
247,0.836347976
248,0.849956934
249,0.843066322
250,0.844099914
251,0.845478036
252,0.835486649
253,0.63290267
254,0.824806202
255,0.843410853
256,0.746425495
257,0.841515935
258,0.851335056
259,0.767958656
260,0.84754522
261,0.844099914
262,0.702670112
263,0.846511628
264,0.839965547
265,0.845650301
266,0.846339363
267,0.847028424
268,0.842204996
269,0.844788975
270,0.76416882
271,0.845133506
272,0.847372954
273,0.808957795
274,0.486132644
275,0.843410853
276,0.778983635
277,0.559345392
278,0.837209302
279,0.844444444
280,0.846339363
281,0.696813092
282,0.838242894
283,0.849095607
284,0.838931955
285,0.848923342
286,0.843410853
287,0.850301464
288,0.842894057
289,0.843927649
290,0.845133506
291,0.757795004
292,0.729888028
293,0.769853575
294,0.854435831
295,0.844272179
296,0.839621016
297,0.852196382
298,0.832213609
299,0.71335056
300,0.831696813
