iter	Passed	Remaining
0	230	230270
1	329	164509
2	432	143875
3	549	136939
4	789	157028
5	1057	175145
6	1566	222273
7	1791	222130
8	2083	229403
9	2204	218235
10	2309	207643
11	2421	199368
12	2647	201015
13	2937	206918
14	3204	210410
15	3439	211524
16	3681	212887
17	3944	215217
18	4191	216431
19	4423	216735
20	4656	217079
21	4948	219963
22	5194	220641
23	5376	218633
24	5484	213909
25	5590	209437
26	5683	204810
27	5770	200318
28	5910	197887
29	6072	196335
30	6165	192721
31	6268	189630
32	6363	186470
33	6458	183483
34	6573	181242
35	6678	178831
36	6801	177026
37	6910	174943
38	7008	172700
39	7120	170898
40	7219	168857
41	7316	166895
42	7417	165072
43	7519	163371
44	7613	161568
45	7712	159960
46	8011	162440
47	8109	160847
48	8213	159409
49	8318	158045
50	8423	156750
51	8518	155305
52	8625	154126
53	8877	155517
54	8968	154088
55	9078	153030
56	9171	151731
57	9249	150223
58	9329	148799
59	9427	147693
60	9506	146340
61	9598	145220
62	9683	144015
63	9870	144353
64	10092	145173
65	10383	146945
66	10634	148082
67	11003	150810
68	11247	151754
69	11451	152144
70	11568	151370
71	11675	150484
72	11797	149812
73	11903	148955
74	12019	148244
75	12124	147405
76	12238	146706
77	12367	146187
78	12479	145490
79	12563	144483
80	12668	143727
81	12777	143049
82	12924	142789
83	13069	142522
84	13181	141890
85	13283	141170
86	13425	140890
87	13545	140380
88	13672	139952
89	13798	139522
90	13943	139283
91	14082	138992
92	14184	138335
93	14280	137638
94	14391	137094
95	14539	136911
96	14652	136401
97	14771	135956
98	14872	135355
99	14970	134732
100	15064	134088
101	15155	133427
102	15248	132794
103	15337	132139
104	15430	131527
105	15561	131241
106	15672	130803
107	15770	130253
108	15863	129673
109	15958	129118
110	16050	128551
111	16145	128009
112	16238	127463
113	16336	126963
114	16454	126629
115	16633	126760
116	16745	126377
117	16847	125925
118	16935	125382
119	17019	124812
120	17099	124216
121	17179	123638
122	17268	123126
123	17371	122718
124	17479	122354
125	17585	121983
126	17673	121488
127	17755	120957
128	17840	120455
129	17918	119917
130	17992	119356
131	18071	118836
132	18159	118379
133	18237	117864
134	18339	117511
135	18467	117321
136	18590	117106
137	18976	118532
138	19143	118581
139	19301	118568
140	19428	118360
141	19551	118137
142	19664	117850
143	19771	117532
144	20898	123226
145	21927	128258
146	22227	128977
147	22341	128611
148	22445	128195
149	22529	127667
150	22614	127150
151	22693	126607
152	22774	126079
153	22852	125538
154	22931	125011
155	23007	124478
156	23104	124059
157	23201	123643
158	23294	123211
159	23379	122741
160	23458	122249
161	23546	121802
162	23642	121404
163	23746	121046
164	23848	120686
165	23937	120264
166	24021	119821
