,feature,importance
16,pay_1,0.022667829119442064
15,use_4,0.01585004359197912
14,pay_2,0.01572798605056674
13,pay_3,0.011665213600697525
12,pay_4,0.009706480674222662
11,use_6,0.009113629758791094
10,card_limit,0.006928218541121808
9,use_2,0.005486777099680373
8,use_3,0.0038942167974426547
7,pay_6,0.0025748328974135926
6,use_1,0.0024353385643708703
5,pay_5,0.0022784074396978273
4,age,0.001981981981982032
3,use_5,0.0016274338854984564
2,sex,0.0011915140947399538
1,marital_status,0.0005231037489102512
0,education,-0.00013949433304265939
