,feature,importance
16,pay_1,0.03743148978574992
15,pay_2,0.025043597409068308
14,use_2,0.024813153961136068
13,use_4,0.02231564524165426
12,pay_4,0.020241654210264116
11,pay_3,0.018840308918784313
10,use_1,0.009473094170403635
9,pay_5,0.007299451918286059
8,use_5,0.0072807673143996466
7,use_6,0.007125062282012995
6,use_3,0.006608121574489345
5,card_limit,0.0035936721474838468
4,pay_6,0.00318883906327857
3,age,0.0016068759342302379
2,education,0.0005605381165919762
1,sex,0.0002740408570005459
0,marital_status,-6.228201295461385e-05
